Outlook,Temperature,Humidity,Windy,Play Cricket
Overcast,Cool,Normal,FALSE,No
Rainy,Cool,High,FALSE,No
Rainy,Cool,Normal,TRUE,Yes
Overcast,Hot,Normal,TRUE,Yes
Overcast,Hot,Normal,TRUE,No
Overcast,Mild,High,TRUE,No
Rainy,Cool,High,TRUE,Yes
Overcast,Cool,High,FALSE,No
Overcast,Cool,High,FALSE,Yes
Sunny,Cool,Normal,FALSE,Yes
Sunny,Mild,High,FALSE,No
Overcast,Mild,High,FALSE,No
Overcast,Cool,High,TRUE,Yes
Rainy,Hot,High,FALSE,No
Rainy,Cool,Normal,TRUE,No
Overcast,Hot,High,FALSE,Yes
Rainy,Mild,Normal,FALSE,Yes
Sunny,Mild,Normal,FALSE,No
Rainy,Hot,High,FALSE,Yes
Overcast,Cool,Normal,TRUE,No
Sunny,Cool,High,TRUE,No
Rainy,Hot,Normal,TRUE,No
Overcast,Hot,Normal,FALSE,No
Rainy,Cool,Normal,FALSE,No
Rainy,Mild,Normal,TRUE,No
Rainy,Mild,High,TRUE,Yes
Rainy,Mild,Normal,FALSE,No
Overcast,Hot,Normal,FALSE,Yes
Sunny,Hot,Normal,FALSE,No
Overcast,Cool,High,TRUE,Yes
Overcast,Hot,Normal,FALSE,Yes
Rainy,Cool,Normal,FALSE,Yes
Sunny,Mild,Normal,TRUE,Yes
Overcast,Cool,Normal,TRUE,Yes
Overcast,Cool,High,FALSE,Yes
Overcast,Mild,High,FALSE,Yes
Rainy,Hot,Normal,FALSE,Yes
Overcast,Cool,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Sunny,Cool,Normal,FALSE,Yes
Sunny,Hot,High,FALSE,No
Rainy,Cool,High,FALSE,Yes
Rainy,Cool,Normal,TRUE,Yes
Rainy,Mild,Normal,TRUE,No
Sunny,Mild,High,TRUE,Yes
Rainy,Hot,High,TRUE,Yes
Overcast,Cool,Normal,TRUE,No
Rainy,Cool,Normal,FALSE,No
Rainy,Cool,Normal,TRUE,Yes
Rainy,Hot,High,FALSE,Yes
Overcast,Cool,High,TRUE,No
Sunny,Cool,Normal,FALSE,No
