Unnamed: 0,CGPA,IQ,Placement
0,8.79,123,1
1,7.14,128,0
2,8.07,114,1
3,7.57,128,1
4,8.47,138,1
5,9.38,139,1
6,9.3,95,0
7,8.41,100,0
8,7.83,125,1
9,6.02,118,0
10,6.46,107,0
11,6.56,96,0
12,9.21,118,1
13,6.21,127,0
14,6.82,119,0
15,6.6,126,0
16,8.8,111,1
17,8.38,120,1
18,8.45,102,0
19,9.45,126,1
20,6.05,137,0
21,9.36,123,1
22,8.96,113,1
23,6.58,110,0
24,7.64,133,1
25,6.62,129,0
26,7.05,127,0
27,8.27,104,0
28,6.44,132,0
29,7.38,107,0
30,7.26,124,0
31,8.6,117,1
32,7.98,115,1
33,8.6,118,1
34,7.23,139,0
35,9.72,124,1
36,8.77,139,1
37,8.95,109,0
38,9.78,101,0
39,7.42,136,0
40,8,127,1
41,7.78,123,1
42,8.5,122,1
43,8.19,119,1
44,8.92,96,0
45,7.57,132,1
46,7.5,104,0
47,9.74,95,0
48,7.55,109,0
49,7.58,111,1
50,6.94,110,0
51,8.05,121,1
52,9.32,106,0
53,9.3,119,1
54,8.82,123,1
55,8.87,135,1
56,7.71,126,1
57,6.06,129,0
58,7.77,123,1
59,6.78,115,0
60,6.24,128,0
61,9.64,134,1
62,9.21,110,0
63,7.31,110,0
64,8.11,107,0
65,9.55,114,1
66,7.4,133,0
67,6.14,105,0
68,7.7,134,1
69,8.82,106,0
70,7.21,97,0
71,7.14,102,0
72,7.17,121,0
73,7.32,95,0
74,9.07,97,0
75,9.09,126,1
76,7.5,133,0
77,7.21,116,0
78,6.9,105,0
79,8.3,110,0
80,7.57,130,1
81,6.98,117,0
82,9.58,125,1
83,9.15,114,1
84,7.33,135,0
85,7.82,130,1
86,8.25,132,1
87,9.49,123,1
88,6.77,113,0
89,8.22,105,0
90,8.68,116,1
91,8.42,117,1
92,8.64,117,1
93,6.22,117,0
94,8.96,121,1
95,6.77,113,0
96,6.05,117,0
97,6.6,124,0
98,8.29,117,1
99,9.01,135,1
100,8.88,109,0
101,7.81,137,1
102,7.85,135,1
103,9.33,137,1
104,9.45,137,1
105,9.36,127,1
106,9.01,109,0
107,8.88,98,0
108,7.61,135,1
109,6.27,120,0
110,8.28,124,1
111,8.28,130,1
112,7.18,108,0
113,9.38,129,1
114,6.46,100,0
115,9.66,97,0
116,9.27,130,1
117,7.27,110,0
118,9.64,121,1
119,7.69,96,0
120,7.61,125,1
121,7.12,122,0
122,9,106,0
123,8.74,127,1
124,6.16,96,0
125,8.39,134,1
126,8,140,1
127,8.02,119,1
128,7.54,119,1
129,8.84,119,1
130,8.91,112,1
131,8.44,129,1
132,8.12,134,1
133,6.44,98,0
134,7.17,137,0
135,7.56,116,1
136,8.69,118,1
137,9.75,118,1
138,6.43,109,0
139,8.65,96,0
140,6.17,123,0
141,7.49,101,0
142,6.27,124,0
143,9.51,104,0
144,9.77,96,0
145,7.61,132,1
146,8.67,135,1
147,7.5,99,0
148,8.09,129,1
149,8.27,110,0
150,8.49,97,0
151,8.95,139,1
152,7.34,118,0
153,8.51,105,0
154,6.47,130,0
155,6.69,96,0
156,9.31,128,1
157,9.05,129,1
158,6.65,133,0
159,8.09,124,1
160,9.63,115,1
161,9.08,116,1
162,6.53,127,0
163,6.26,125,0
164,6.86,138,0
165,8.73,123,1
166,8.8,101,0
167,9.52,128,1
168,7.15,138,0
169,6.46,122,0
170,7.8,100,0
171,6.04,102,0
172,6.09,120,0
173,7.44,96,0
174,7.66,102,0
175,8.64,115,1
176,8.11,139,1
177,8.53,110,0
178,6.04,95,0
179,9.67,121,1
180,6.59,105,0
181,9.53,101,0
182,9.62,110,0
183,8.93,140,1
184,8.95,123,1
185,8.21,112,1
186,9.63,107,0
187,7.38,138,0
188,8.34,132,1
189,9.62,106,0
190,6.96,135,0
191,8.86,107,0
192,6.21,138,0
193,7.01,117,0
194,6.69,135,0
195,9.06,130,1
196,7.86,106,0
197,8.91,138,1
198,8.74,104,0
199,9.69,123,1
200,8.72,98,0
201,8.36,100,0
202,7.97,120,1
203,9.13,115,1
204,6.55,102,0
205,6.18,134,0
206,8.85,101,0
207,9.49,124,1
208,8.41,124,1
209,6.01,97,0
210,6.34,136,0
211,6.45,108,0
212,9.34,131,1
213,6.99,139,0
214,7.25,126,0
215,9.16,115,1
216,6.97,131,0
217,8.3,96,0
218,6.03,135,0
219,7.87,100,0
220,7.9,112,1
221,8.98,123,1
222,9.45,116,1
223,7.59,131,1
224,6.55,113,0
225,6.72,115,0
226,9.15,121,1
227,9.29,97,0
228,7.14,109,0
229,6.62,134,0
230,6.9,117,0
231,6.59,118,0
232,8.41,96,0
233,8.63,100,0
234,7.94,112,1
235,9.05,117,1
236,6.34,133,0
237,8.64,102,0
238,6.76,113,0
239,8.49,115,1
240,8.77,116,1
241,7.26,96,0
242,6.23,99,0
243,7.48,110,0
244,6.98,115,0
245,9.03,140,1
246,8.35,99,0
247,8.5,104,0
248,7.9,109,0
249,9.24,119,1
250,8.25,122,1
251,9.06,104,0
252,7.51,117,1
253,7.58,132,1
254,9.19,120,1
255,9.77,126,1
256,9.24,99,0
257,8.18,130,1
258,8.92,98,0
259,7.76,101,0
260,7.29,130,0
261,8.21,115,1
262,7.77,140,1
263,7.78,117,1
264,8.15,122,1
265,8.96,137,1
266,6.5,115,0
267,8.26,136,1
268,8.75,126,1
269,9.34,118,1
270,9.59,127,1
271,7.58,108,0
272,6.12,133,0
273,7.82,102,0
274,8.66,109,0
275,6.11,113,0
276,7.61,131,1
277,8.71,131,1
278,7.11,115,0
279,8.56,102,0
280,8.6,107,0
281,9.24,114,1
282,6.25,101,0
283,6.12,104,0
284,7.45,124,0
285,6.79,125,0
286,7.07,125,0
287,9.58,116,1
288,7.79,107,0
289,6.4,129,0
290,6.94,140,0
291,6.42,104,0
292,9.01,95,0
293,7.55,127,1
294,9.6,137,1
295,8.15,134,1
296,6.52,108,0
297,7.34,104,0
298,6.58,127,0
299,6.68,137,0
300,7.66,108,0
301,6.53,114,0
302,6.1,125,0
303,8.9,120,1
304,9.2,106,0
305,6.56,137,0
306,9.3,126,1
307,9.16,137,1
308,6.05,118,0
309,6.72,122,0
310,9.09,119,1
311,7.12,106,0
312,9.47,99,0
313,7.48,116,0
314,7.31,128,0
315,7.65,116,1
316,7.15,131,0
317,8.42,139,1
318,6.44,121,0
319,8.44,118,1
320,7.18,127,0
321,9.05,138,1
322,7.23,110,0
323,8.56,97,0
324,6.9,128,0
325,6.35,98,0
326,9.48,114,1
327,8.84,122,1
328,7.37,120,0
329,7.86,119,1
330,8.35,105,0
331,9.71,105,0
332,7.74,134,1
333,7.7,113,1
334,6.93,131,0
335,8.18,103,0
336,6.67,133,0
337,8.18,136,1
338,8.32,139,1
339,6.43,109,0
340,6.02,138,0
341,6.3,111,0
342,6.01,98,0
343,6.31,136,0
344,7.88,100,0
345,9.67,116,1
346,6.82,114,0
347,7.67,132,1
348,9.71,95,0
349,6.17,98,0
350,7.75,125,1
351,7.01,104,0
352,8.64,120,1
353,8.66,102,0
354,8.23,96,0
355,7.13,131,0
356,8.73,127,1
357,6.2,95,0
358,7.93,99,0
359,6.27,140,0
360,8.14,115,1
361,9.63,128,1
362,7.23,117,0
363,6.24,97,0
364,7.76,138,1
365,7.45,130,0
366,6.61,99,0
367,7.77,114,1
368,7.39,131,0
369,8.44,124,1
370,8.56,137,1
371,9.13,128,1
372,7.26,103,0
373,9.01,122,1
374,8.35,136,1
375,6.22,131,0
376,6.56,107,0
377,9.3,100,0
378,6.73,104,0
379,7.39,132,0
380,7.23,121,0
381,6.56,125,0
382,6.71,105,0
383,6.72,132,0
384,6.55,96,0
385,6.36,128,0
386,8.1,132,1
387,8.43,138,1
388,8.67,123,1
389,8.74,122,1
390,7.18,121,0
391,6.14,107,0
392,6.35,104,0
393,7.04,105,0
394,6.48,139,0
395,8.59,103,0
396,8.74,121,1
397,9.53,139,1
398,7.93,117,1
399,6.25,97,0
400,7.89,128,1
401,9.37,111,1
402,7.62,116,1
403,7.66,100,0
404,6.58,136,0
405,9.23,132,1
406,8.07,116,1
407,9.09,132,1
408,8.07,116,1
409,6.84,126,0
410,6.64,128,0
411,6.25,112,0
412,9.38,133,1
413,9.2,140,1
414,9.4,104,0
415,7.9,120,1
416,7.91,122,1
417,8.03,113,1
418,8.17,103,0
419,6.49,130,0
420,9.73,125,1
421,9.6,140,1
422,8.95,97,0
423,7.55,104,0
424,8.43,108,0
425,6.54,95,0
426,9.8,127,1
427,6.74,137,0
428,6.88,110,0
429,7.31,129,0
430,7.26,116,0
431,8.48,137,1
432,7.02,112,0
433,7.71,136,1
434,7.55,105,0
435,8.06,115,1
436,8.02,131,1
437,6.96,119,0
438,6.82,107,0
439,6.78,114,0
440,9.66,109,0
441,8.49,137,1
442,6.72,130,0
443,9.38,138,1
444,8.9,98,0
445,8.21,101,0
446,6.15,130,0
447,6.42,96,0
448,9.1,119,1
449,9.08,124,1
450,7.07,130,0
451,6.14,111,0
452,6.46,105,0
453,9.34,140,1
454,8.09,129,1
455,9.48,135,1
456,8.9,126,1
457,9.26,128,1
458,9.59,114,1
459,7.47,128,0
460,7.46,95,0
461,7.76,130,1
462,8.94,124,1
463,9.18,135,1
464,8.47,124,1
465,9.56,130,1
466,7.6,131,1
467,6.05,137,0
468,7.79,106,0
469,8.62,102,0
470,6.58,132,0
471,8.04,128,1
472,8.88,137,1
473,6.11,98,0
474,6.15,106,0
475,6.32,103,0
476,7.67,136,1
477,6.77,114,0
478,7.73,117,1
479,8.42,108,0
480,9.2,136,1
481,7.85,139,1
482,8.67,140,1
483,6.69,102,0
484,7.55,110,0
485,6.04,133,0
486,7.23,102,0
487,8.81,124,1
488,7.2,130,0
489,7.86,125,1
490,7.68,131,1
491,6.46,122,0
492,9.16,98,0
493,8.56,134,1
494,9.35,111,1
495,9.66,105,0
496,7.47,135,0
497,6.49,127,0
498,9.07,128,1
499,6.16,133,0
500,8.16,97,0
501,7.4,126,0
502,7.61,117,1
503,7.66,134,1
504,8.37,103,0
505,7.66,112,1
506,9.77,107,0
507,7.84,138,1
508,8.35,138,1
509,7.17,113,0
510,8.49,105,0
511,9.18,113,1
512,6.03,113,0
513,7.18,107,0
514,7.56,131,1
515,8.74,136,1
516,6.53,107,0
517,8.73,139,1
518,8.64,112,1
519,9.42,107,0
520,7.06,101,0
521,6.95,136,0
522,7.96,127,1
523,8.27,95,0
524,6.82,134,0
525,6.89,96,0
526,6.59,106,0
527,9.62,134,1
528,8.31,117,1
529,9.2,95,0
530,9.32,95,0
531,6.35,130,0
532,6.36,107,0
533,9.22,95,0
534,6.62,98,0
535,7.24,135,0
536,6.52,116,0
537,8.28,124,1
538,9.27,101,0
539,6.84,129,0
540,8.58,97,0
541,9.34,118,1
542,7.07,140,0
543,6.95,112,0
544,7.37,140,0
545,6.49,101,0
546,7.57,114,1
547,8.91,129,1
548,7.09,126,0
549,9.53,107,0
550,6.56,109,0
551,7.48,97,0
552,9.78,134,1
553,8.94,128,1
554,9.21,125,1
555,6.97,140,0
556,6.8,138,0
557,7.2,117,0
558,9.05,96,0
559,6.81,134,0
560,6.47,114,0
561,9.75,101,0
562,7.82,100,0
563,6.78,124,0
564,8.24,125,1
565,9.78,136,1
566,7.95,128,1
567,6.23,138,0
568,6.96,99,0
569,8.96,120,1
570,9.11,119,1
571,9.51,104,0
572,7.36,123,0
573,6.02,110,0
574,9.15,106,0
575,9.46,100,0
576,8.46,115,1
577,6.94,128,0
578,6.9,126,0
579,9.48,101,0
580,8.98,116,1
581,6.39,130,0
582,6.7,95,0
583,6.16,127,0
584,8.57,126,1
585,7.92,99,0
586,6.69,124,0
587,6.87,95,0
588,7.12,120,0
589,8.34,132,1
590,9.23,132,1
591,6.26,125,0
592,8.52,134,1
593,7.03,126,0
594,6.55,119,0
595,8.24,101,0
596,7.92,97,0
597,9.77,102,0
598,9.6,101,0
599,6.28,128,0
600,7.46,100,0
601,7.23,119,0
602,8.08,128,1
603,9.69,124,1
604,9.78,120,1
605,6.46,115,0
606,8.38,120,1
607,6.01,111,0
608,8.93,106,0
609,8.2,111,1
610,7.6,97,0
611,8.73,117,1
612,8.36,104,0
613,8.96,123,1
614,7.21,105,0
615,6.47,108,0
616,6.72,103,0
617,6.67,131,0
618,7.78,111,1
619,8.72,132,1
620,7.23,107,0
621,7.38,133,0
622,6.88,101,0
623,7.44,114,0
624,6.46,119,0
625,6.22,119,0
626,8.78,131,1
627,8.1,120,1
628,9.79,136,1
629,6.76,100,0
630,7.3,124,0
631,8.92,103,0
632,6.59,121,0
633,7.59,123,1
634,8.67,98,0
635,9.57,112,1
636,6.3,130,0
637,9.19,116,1
638,8.48,107,0
639,9.64,126,1
640,7.95,126,1
641,8.2,110,0
